,-746.062439,-107.225594,46.878906
,-1395.263916,-167.733780,52.660709
,-1447.758789,-105.408432,56.063839
,-1386.958252,-76.266953,59.332565
,-1306.239136,-73.056984,54.527042
,-1037.573242,-210.921570,43.143059
,-984.317871,-234.836395,46.530800
,-882.656250,-299.867279,45.518108
,-793.702637,-332.839874,45.998421
,-606.263794,-380.677734,45.335091
,-220.685089,-447.820160,42.584625
,-176.415649,-476.961426,42.138645
,-237.628326,-684.496399,41.520542
,-279.719147,-873.649658,40.416424
,-176.171890,-914.281799,39.202335
,-17.027229,-963.611267,38.422054
,119.008904,-1015.995361,37.484650
,235.935730,-1066.740723,36.691669
,405.560974,-1061.333618,37.284145
,1154.116089,-1728.143066,43.594013
,1358.521973,-1597.594971,59.451080
,1429.848389,-1769.734619,73.425644
,1079.648560,-2083.021973,43.672405
,752.196228,-2475.559814,27.148607
,-1360.374146,-274.507416,49.159561
,-1496.886597,-278.561401,56.648251
,-1560.145264,-356.569244,55.624016
,-1460.604736,-459.242126,44.876842
