MICHAEL'S HOUSE,-852.4,160.0,65.6
FRANKLIN'S HOUSE,7.9,548.1,175.5
TREVOR'S TRAILER,1985.7,3812.2,32.2
AIRPORT ENTRANCE,-1034.6,-2733.6,13.8
AIRPORT FIELD,-1336.0,-3044.0,13.9
ELYSIAN ISLAND,338.2,-2715.9,38.5
JETSAM,760.4,-2943.2,5.8
STRIPCLUB,127.4,-1307.7,29.2
ELBURRO HEIGHTS,1384.0,-2057.1,52.0
FERRIS WHEEL,-1670.7,-1125.0,13.0
CHUMASH,-3192.6,1100.0,20.2
WINDFARM,2354.0,1830.3,101.1
MILITARY BASE,-2047.4,3132.1,32.8
MCKENZIE AIRFIELD,2121.7,4796.3,41.1
DESERT AIRFIELD,1747.0,3273.7,41.1
CHILLIAD,425.4,5614.3,766.5
NORTH YANKTON,3360.19,-4849.67,111.8
INSIDE ORIENTAL,302.167877,204.560455,104.372681
YELLOW JACK,1993.431396,3058.141357,47.055130
HIPPIE CAMP,2456.081543,3788.775635,40.683475
BLAINE COUNTY BANK,-110.507591,6463.688965,31.634811
ARMY BASE TOWER,-2346.281250,3267.095459,32.810760
ARMY BASE ELEVATOR,-2055.853516,3239.483398,31.498884
FIB FLOOR 49,134.003250,-764.417603,242.152069
FIB BURNT FLOOR,138.348007,-732.325134,246.152252
FIB TOP FLOOR,135.263458,-749.277100,258.152130
UNDERGROUND PARKING,404.281158,-963.241882,-99.004189 
ONLINE GARAGE,228.984207,-990.698669,-98.999962 
MUG SHOT ROOM,410.020996,-1000.599304,-99.004135 
400K APT. (UNDER MAP),309.986664,-999.790405,-94.174271
APARTMENT,-263.490753,-950.349915,75.828773
S.S COMEDY CLUB,379.662109,-1000.625732,-99.000008 
LESTER'S HOUSE,1274.398804,-1712.488770,54.771492
MILITARY BASE UFO,-2032.197632,3292.609863,1450.848267
UNDERWATER UFO,803.184326,7427.403320,-102.274086
SANDY SHORE UFO,2505.632080,3827.461914,2492.282959
